loc,std,height,loss
0.2,0.01,6300.0,2960240148480.0
0.2,0.01,6400.0,3071612289024.0
0.2,0.01,6500.0,3175366524928.0
0.2,0.01,6600.0,3288378900480.0
0.2,0.01,6700.0,3415574577152.0
0.2,0.01,6800.0,3531914084352.0
0.2,0.01,6900.0,3658137468928.0
0.2,0.01,7000.0,3781679120384.0
0.2,0.01,7100.0,3903777931264.0
0.2,0.01,7200.0,4037626298368.0
0.2,0.01,7300.0,4183169695744.0
0.2,0.01,7400.0,4335495544832.0
0.2,0.01,7500.0,4489456648192.0
0.2,0.01,7600.0,4668764192768.0
0.2,0.01,7700.0,4872396603392.0
0.2,0.01,7800.0,5076449492992.0
0.2,0.01,7900.0,5280218742784.0
0.2,0.01,8000.0,5486034288640.0
0.2,0.01,8100.0,5686770008064.0
0.2,0.01,8200.0,5903713566720.0
0.2,0.01,8300.0,6123176329216.0
0.2,0.01,8400.0,6349650395136.0
0.2,0.01,8500.0,6610872696832.0
0.2,0.01,8600.0,6835505463296.0
0.2,0.01,8700.0,7096140562432.0
0.2,0.01,8800.0,7363100672000.0
0.2,0.01,8900.0,7622124634112.0
0.2,0.01,9000.0,7906815639552.0
0.2,0.01,9100.0,8170902126592.0
0.2,0.01,9200.0,8438951706624.0
0.2,0.01,9300.0,8759683317760.0
0.2,0.01,9400.0,9090595028992.0
0.2,0.01,9500.0,9438426562560.0
0.2,0.01,9600.0,9790044504064.0
0.2,0.01,9700.0,10164265549824.0
0.2,0.01,9800.0,10592724189184.0
0.2,0.01,9900.0,11039047417856.0
0.2,0.01,10000.0,11482440925184.0
0.20600000000000002,0.01,0.0,909802733568.0
0.20600000000000002,0.01,100.0,902537216000.0
0.20600000000000002,0.01,200.0,895742115840.0
0.20600000000000002,0.01,300.0,892304490496.0
0.20600000000000002,0.01,400.0,887769530368.0
0.20600000000000002,0.01,500.0,889996836864.0
0.20600000000000002,0.01,600.0,888196956160.0
0.20600000000000002,0.01,700.0,884958625792.0
0.20600000000000002,0.01,800.0,886753198080.0
0.20600000000000002,0.01,900.0,890415742976.0
0.20600000000000002,0.01,1000.0,887363665920.0
0.20600000000000002,0.01,1100.0,890010992640.0
0.20600000000000002,0.01,1200.0,896824377344.0
0.20600000000000002,0.01,1300.0,900170317824.0
0.20600000000000002,0.01,1400.0,905615310848.0
0.20600000000000002,0.01,1500.0,911986589696.0
0.20600000000000002,0.01,1600.0,915483197440.0
0.20600000000000002,0.01,1700.0,924865396736.0
0.20600000000000002,0.01,1800.0,931837771776.0
0.20600000000000002,0.01,1900.0,933945999360.0
0.20600000000000002,0.01,2000.0,944545529856.0
0.20600000000000002,0.01,2100.0,955302019072.0
0.20600000000000002,0.01,2200.0,968382283776.0
0.20600000000000002,0.01,2300.0,977448140800.0
0.20600000000000002,0.01,2400.0,997262622720.0
0.20600000000000002,0.01,2500.0,1010176032768.0
0.20600000000000002,0.01,2600.0,1030521094144.0
0.20600000000000002,0.01,2700.0,1043868876800.0
0.20600000000000002,0.01,2800.0,1061674549248.0
0.20600000000000002,0.01,2900.0,1081950994432.0
0.20600000000000002,0.01,3000.0,1104971169792.0
0.20600000000000002,0.01,3100.0,1127533903872.0
0.20600000000000002,0.01,3200.0,1151558221824.0
0.20600000000000002,0.01,3300.0,1174435397632.0
0.20600000000000002,0.01,3400.0,1203343458304.0
0.20600000000000002,0.01,3500.0,1233849679872.0
0.20600000000000002,0.01,3600.0,1268886798336.0
0.20600000000000002,0.01,3700.0,1299183304704.0
0.20600000000000002,0.01,3800.0,1337383190528.0
0.20600000000000002,0.01,3900.0,1378139897856.0
0.20600000000000002,0.01,4000.0,1417594667008.0
0.20600000000000002,0.01,4100.0,1453614301184.0
0.20600000000000002,0.01,4200.0,1497044615168.0
0.20600000000000002,0.01,4300.0,1536898498560.0
0.20600000000000002,0.01,4400.0,1586432311296.0
0.20600000000000002,0.01,4500.0,1640492302336.0
0.20600000000000002,0.01,4600.0,1690496532480.0
0.20600000000000002,0.01,4700.0,1753959497728.0
0.20600000000000002,0.01,4800.0,1806032961536.0
0.20600000000000002,0.01,4900.0,1865355624448.0
0.20600000000000002,0.01,5000.0,1937413373952.0
0.20600000000000002,0.01,5100.0,2010355597312.0
0.20600000000000002,0.01,5200.0,2075697086464.0
0.20600000000000002,0.01,5300.0,2148998184960.0
