loc,std,height,loss
0.525,0.003,1900.0,613600657408.0
0.525,0.003,2000.0,601845399552.0
0.525,0.003,2100.0,584236204032.0
0.525,0.003,2200.0,566676029440.0
0.525,0.003,2300.0,549883019264.0
0.525,0.003,2400.0,529713266688.0
0.525,0.003,2500.0,512133365760.0
0.525,0.003,2600.0,492634275840.0
0.525,0.003,2700.0,477057384448.0
0.525,0.003,2800.0,457691693056.0
0.525,0.003,2900.0,445057990656.0
0.525,0.003,3000.0,429954007040.0
0.525,0.003,3100.0,416431636480.0
0.525,0.003,3200.0,400511107072.0
0.525,0.003,3300.0,387971121152.0
0.525,0.003,3400.0,372568031232.0
0.525,0.003,3500.0,358051840000.0
0.525,0.003,3600.0,346955448320.0
0.525,0.003,3700.0,334364803072.0
0.525,0.003,3800.0,318904270848.0
0.525,0.003,3900.0,306368905216.0
0.525,0.003,4000.0,294540771328.0
0.525,0.003,4100.0,283285192704.0
0.525,0.003,4200.0,272383311872.0
0.525,0.003,4300.0,258013347840.0
0.525,0.003,4400.0,243956924416.0
0.525,0.003,4500.0,231588069376.0
0.525,0.003,4600.0,216402116608.0
0.525,0.003,4700.0,201887350784.0
0.525,0.003,4800.0,188823552000.0
0.525,0.003,4900.0,177628790784.0
0.525,0.003,5000.0,164401577984.0
0.525,0.003,5100.0,154369343488.0
0.525,0.003,5200.0,144557834240.0
0.525,0.003,5300.0,136128593920.0
0.525,0.003,5400.0,126982733824.0
0.525,0.003,5500.0,119362895872.0
0.525,0.003,5600.0,109356482560.0
0.525,0.003,5700.0,99092537344.0
0.525,0.003,5800.0,90357612544.0
0.525,0.003,5900.0,80153985024.0
0.525,0.003,6000.0,71124156416.0
0.525,0.003,6100.0,64252198912.0
0.525,0.003,6200.0,56799350784.0
0.525,0.003,6300.0,51059630080.0
0.525,0.003,6400.0,44249829376.0
0.525,0.003,6500.0,38690152448.0
0.525,0.003,6600.0,33043996672.0
0.525,0.003,6700.0,27593496576.0
0.525,0.003,6800.0,24600080384.0
0.525,0.003,6900.0,20652197888.0
0.525,0.003,7000.0,17565964288.0
0.525,0.003,7100.0,14059729920.0
0.525,0.003,7200.0,12392336384.0
0.525,0.003,7300.0,11247858688.0
0.525,0.003,7400.0,10800043008.0
0.525,0.003,7500.0,10984999936.0
0.525,0.003,7600.0,11886827520.0
0.525,0.003,7700.0,14232028160.0
0.525,0.003,7800.0,15929535488.0
0.525,0.003,7900.0,19681206272.0
0.525,0.003,8000.0,24612888576.0
0.525,0.003,8100.0,29949364224.0
0.525,0.003,8200.0,36067045376.0
0.525,0.003,8300.0,42268446720.0
0.525,0.003,8400.0,49811025920.0
0.525,0.003,8500.0,58872340480.0
0.525,0.003,8600.0,67865432064.0
0.525,0.003,8700.0,78470242304.0
0.525,0.003,8800.0,91467210752.0
0.525,0.003,8900.0,106100662272.0
0.525,0.003,9000.0,121201745920.0
0.525,0.003,9100.0,138623991808.0
0.525,0.003,9200.0,152471191552.0
0.525,0.003,9300.0,169901588480.0
0.525,0.003,9400.0,189732110336.0
0.525,0.003,9500.0,212938981376.0
0.525,0.003,9600.0,238583660544.0
0.525,0.003,9700.0,263762132992.0
0.525,0.003,9800.0,292326768640.0
0.525,0.003,9900.0,321332903936.0
0.525,0.003,10000.0,349290758144.0
0.525,0.004,0.0,912652107776.0
0.525,0.004,100.0,890583973888.0
0.525,0.004,200.0,873385754624.0
0.525,0.004,300.0,861449617408.0
0.525,0.004,400.0,843393400832.0
0.525,0.004,500.0,829284548608.0
0.525,0.004,600.0,817159208960.0
0.525,0.004,700.0,797945298944.0
0.525,0.004,800.0,779082727424.0
0.525,0.004,900.0,760746278912.0
0.525,0.004,1000.0,738782871552.0
0.525,0.004,1100.0,720315940864.0
0.525,0.004,1200.0,705567981568.0
0.525,0.004,1300.0,691937673216.0
0.525,0.004,1400.0,674030747648.0
0.525,0.004,1500.0,656467034112.0
0.525,0.004,1600.0,640977600512.0
0.525,0.004,1700.0,626150408192.0
0.525,0.004,1800.0,609673347072.0
0.525,0.004,1900.0,593729355776.0
0.525,0.004,2000.0,575772491776.0
0.525,0.004,2100.0,556039733248.0
0.525,0.004,2200.0,539031404544.0
0.525,0.004,2300.0,520055619584.0
0.525,0.004,2400.0,497288937472.0
0.525,0.004,2500.0,479487164416.0
0.525,0.004,2600.0,462161969152.0
0.525,0.004,2700.0,446219976704.0
0.525,0.004,2800.0,431056846848.0
0.525,0.004,2900.0,415429820416.0
0.525,0.004,3000.0,400543744000.0
0.525,0.004,3100.0,383268093952.0
0.525,0.004,3200.0,368426844160.0
0.525,0.004,3300.0,354055913472.0
0.525,0.004,3400.0,339728367616.0
0.525,0.004,3500.0,327196180480.0
0.525,0.004,3600.0,312701452288.0
0.525,0.004,3700.0,298547838976.0
0.525,0.004,3800.0,285655007232.0
0.525,0.004,3900.0,274871697408.0
0.525,0.004,4000.0,262835453952.0
0.525,0.004,4100.0,245399912448.0
0.525,0.004,4200.0,231499251712.0
0.525,0.004,4300.0,216785076224.0
0.525,0.004,4400.0,200887123968.0
0.525,0.004,4500.0,187728674816.0
0.525,0.004,4600.0,174759477248.0
0.525,0.004,4700.0,161169375232.0
0.525,0.004,4800.0,150975823872.0
